"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"46490","1.0","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Commenting","false","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Commenting"
"46491","1.0","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Concordancing ","false","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Concordancing "
"46493","1.0","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Encoding","false","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Encoding"
"46494","1.0","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Linked Open Data","false","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Linked Open Data"
"46496","1.0","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Named Entity Recognition ","false","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Named Entity Recognition "
"46497","1.0","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Pattern Recognition","false","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Pattern Recognition"
"46499","1.0","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) POS-Tagging","false","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) POS-Tagging"
"46500","1.0","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Preservation Metadata ","false","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Preservation Metadata "
"46502","1.0","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Principal Component Analysis","false","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Principal Component Analysis"
"46503","1.0","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Scanning","false","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Scanning"
"46504","1.0","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Searching","false","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Searching"
"46506","1.0","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Sentiment Analysis ","false","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Sentiment Analysis "
"46508","1.0","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Topic Modeling","false","interacts with","Master of Arts Linguistic and Literary Computing (interacts with) Topic Modeling"
"46510","1.0","interacts with","Computerlinguistik und Texttechnologie (interacts with) Concordancing ","false","interacts with","Computerlinguistik und Texttechnologie (interacts with) Concordancing "
"46512","1.0","interacts with","Sprachtechnologie und Fremdsprachendidaktik (interacts with) Information Retrieval","false","interacts with","Sprachtechnologie und Fremdsprachendidaktik (interacts with) Information Retrieval"
"46514","1.0","interacts with","Computerlinguistk (interacts with) Concordancing ","false","interacts with","Computerlinguistk (interacts with) Concordancing "
"46515","1.0","interacts with","Computerlinguistk (interacts with) Encoding","false","interacts with","Computerlinguistk (interacts with) Encoding"
"46516","1.0","interacts with","Computerlinguistk (interacts with) POS-Tagging","false","interacts with","Computerlinguistk (interacts with) POS-Tagging"
"46517","1.0","interacts with","Computerlinguistk (interacts with) Sentiment Analysis ","false","interacts with","Computerlinguistk (interacts with) Sentiment Analysis "
"46519","1.0","interacts with","Computerlinguistk (interacts with) Text Mining","false","interacts with","Computerlinguistk (interacts with) Text Mining"
"46520","1.0","interacts with","Digital Humanities1 (interacts with) Encoding","false","interacts with","Digital Humanities1 (interacts with) Encoding"
"46521","1.0","interacts with","Digital Humanities1 (interacts with) Topic Modeling","false","interacts with","Digital Humanities1 (interacts with) Topic Modeling"
"46523","1.0","interacts with","Informatique et Sciences sociales (DCISS) (interacts with) Information Retrieval","false","interacts with","Informatique et Sciences sociales (DCISS) (interacts with) Information Retrieval"
"46525","1.0","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Encoding","false","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Encoding"
"46526","1.0","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Information Retrieval","false","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Information Retrieval"
"46527","1.0","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Linked Open Data","false","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Linked Open Data"
"46529","1.0","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Mapping","false","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Mapping"
"46530","1.0","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Open Archival Information Systems","false","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Open Archival Information Systems"
"46531","1.0","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Pattern Recognition","false","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Pattern Recognition"
"46532","1.0","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Preservation Metadata ","false","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Preservation Metadata "
"46533","1.0","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Scanning","false","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Scanning"
"46534","1.0","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Searching","false","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Searching"
"46535","1.0","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Text Mining","false","interacts with","Master MÃ©tiers de la Science des Patrimoines : spÃ©cialisation Â« Patrimoine Ã©crit et Ã©dition numÃ©rique Â» (interacts with) Text Mining"
"46537","1.0","interacts with","Analyse et structuration des donnÃ©es historiques (interacts with) Web Crawling ","false","interacts with","Analyse et structuration des donnÃ©es historiques (interacts with) Web Crawling "
"46540","1.0","interacts with","Informationsmodellierung in den Geisteswissenschaften (Information Modeling in the Humanities) (interacts with) Bit Stream Preservation ","false","interacts with","Informationsmodellierung in den Geisteswissenschaften (Information Modeling in the Humanities) (interacts with) Bit Stream Preservation "
"46541","1.0","interacts with","Informationsmodellierung in den Geisteswissenschaften (Information Modeling in the Humanities) (interacts with) Encoding","false","interacts with","Informationsmodellierung in den Geisteswissenschaften (Information Modeling in the Humanities) (interacts with) Encoding"
"46542","1.0","interacts with","Informationsmodellierung in den Geisteswissenschaften (Information Modeling in the Humanities) (interacts with) Information Retrieval","false","interacts with","Informationsmodellierung in den Geisteswissenschaften (Information Modeling in the Humanities) (interacts with) Information Retrieval"
"46543","1.0","interacts with","Informationsmodellierung in den Geisteswissenschaften (Information Modeling in the Humanities) (interacts with) Linked Open Data","false","interacts with","Informationsmodellierung in den Geisteswissenschaften (Information Modeling in the Humanities) (interacts with) Linked Open Data"
"46544","1.0","interacts with","Informationsmodellierung in den Geisteswissenschaften (Information Modeling in the Humanities) (interacts with) Open Archival Information Systems","false","interacts with","Informationsmodellierung in den Geisteswissenschaften (Information Modeling in the Humanities) (interacts with) Open Archival Information Systems"
"46545","1.0","interacts with","Informationsmodellierung in den Geisteswissenschaften (Information Modeling in the Humanities) (interacts with) Preservation Metadata ","false","interacts with","Informationsmodellierung in den Geisteswissenschaften (Information Modeling in the Humanities) (interacts with) Preservation Metadata "
"46548","1.0","interacts with","Zertifikat ""Digital Humanities"" (interacts with) Brainstorming","false","interacts with","Zertifikat ""Digital Humanities"" (interacts with) Brainstorming"
"46549","1.0","interacts with","Zertifikat ""Digital Humanities"" (interacts with) Commenting","false","interacts with","Zertifikat ""Digital Humanities"" (interacts with) Commenting"
"46550","1.0","interacts with","Zertifikat ""Digital Humanities"" (interacts with) Scanning","false","interacts with","Zertifikat ""Digital Humanities"" (interacts with) Scanning"
"46551","1.0","interacts with","Zertifikat ""Digital Humanities"" (interacts with) Topic Modeling","false","interacts with","Zertifikat ""Digital Humanities"" (interacts with) Topic Modeling"
"46552","1.0","interacts with","Digital Humanities1 (interacts with) Linked Open Data","false","interacts with","Digital Humanities1 (interacts with) Linked Open Data"
"46554","1.0","interacts with","3D / VR Systeme (interacts with) Brainstorming","false","interacts with","3D / VR Systeme (interacts with) Brainstorming"
"46556","1.0","interacts with","ReprÃ¤sentation von Daten und Information - ein praktischer Einstieg in die Datenvisualisierung mit JavaScript (interacts with) Georeferencing ","false","interacts with","ReprÃ¤sentation von Daten und Information - ein praktischer Einstieg in die Datenvisualisierung mit JavaScript (interacts with) Georeferencing "
"46558","1.0","interacts with","Experto en Humanidades Digitales (interacts with) Commenting","false","interacts with","Experto en Humanidades Digitales (interacts with) Commenting"
"46559","1.0","interacts with","Experto en Humanidades Digitales (interacts with) Encoding","false","interacts with","Experto en Humanidades Digitales (interacts with) Encoding"
"46560","1.0","interacts with","Experto en Humanidades Digitales (interacts with) Information Retrieval","false","interacts with","Experto en Humanidades Digitales (interacts with) Information Retrieval"
"46561","1.0","interacts with","Experto en Humanidades Digitales (interacts with) Linked Open Data","false","interacts with","Experto en Humanidades Digitales (interacts with) Linked Open Data"
"46562","1.0","interacts with","Experto en Humanidades Digitales (interacts with) Preservation Metadata ","false","interacts with","Experto en Humanidades Digitales (interacts with) Preservation Metadata "
"46565","1.0","interacts with","Swiss DH Summer School (interacts with) Emulation ","false","interacts with","Swiss DH Summer School (interacts with) Emulation "
"46567","1.0","interacts with","Digital publishing (interacts with) Brainstorming","false","interacts with","Digital publishing (interacts with) Brainstorming"
"46568","1.0","interacts with","Digital publishing (interacts with) Emulation ","false","interacts with","Digital publishing (interacts with) Emulation "
"46569","1.0","interacts with","Digital publishing (interacts with) Encoding","false","interacts with","Digital publishing (interacts with) Encoding"
"46571","1.0","interacts with","Internettechnologien I: Grundlagen des Internets (interacts with) Linked Open Data","false","interacts with","Internettechnologien I: Grundlagen des Internets (interacts with) Linked Open Data"
"46573","1.0","interacts with","Computergrafik mit WebGL (interacts with) Information Retrieval","false","interacts with","Computergrafik mit WebGL (interacts with) Information Retrieval"
"46574","1.0","interacts with","Computergrafik mit WebGL (interacts with) Linked Open Data","false","interacts with","Computergrafik mit WebGL (interacts with) Linked Open Data"
"46575","1.0","interacts with","Computergrafik mit WebGL (interacts with) Mapping","false","interacts with","Computergrafik mit WebGL (interacts with) Mapping"
"46577","1.0","interacts with","Fotografie (interacts with) Photography","false","interacts with","Fotografie (interacts with) Photography"
"46578","1.0","interacts with","Fotografie (interacts with) Scanning","false","interacts with","Fotografie (interacts with) Scanning"
"46580","1.0","interacts with","Eva MÃ©ndez (interacts with) Information Retrieval","false","interacts with","Eva MÃ©ndez (interacts with) Information Retrieval"
"46581","1.0","interacts with","Eva MÃ©ndez (interacts with) Linked Open Data","false","interacts with","Eva MÃ©ndez (interacts with) Linked Open Data"
"46582","1.0","interacts with","Eva MÃ©ndez (interacts with) Open Archival Information Systems","false","interacts with","Eva MÃ©ndez (interacts with) Open Archival Information Systems"
"46583","1.0","interacts with","Eva MÃ©ndez (interacts with) POS-Tagging","false","interacts with","Eva MÃ©ndez (interacts with) POS-Tagging"
"46584","1.0","interacts with","Eva MÃ©ndez (interacts with) Preservation Metadata ","false","interacts with","Eva MÃ©ndez (interacts with) Preservation Metadata "
"46585","1.0","interacts with","Eva MÃ©ndez (interacts with) Searching","false","interacts with","Eva MÃ©ndez (interacts with) Searching"
"46587","1.0","interacts with","Eva MÃ©ndez (interacts with) Sequence Alignment","false","interacts with","Eva MÃ©ndez (interacts with) Sequence Alignment"
"46588","1.0","interacts with","Eva MÃ©ndez (interacts with) Topic Modeling","false","interacts with","Eva MÃ©ndez (interacts with) Topic Modeling"
"46589","1.0","interacts with","Eva MÃ©ndez (interacts with) Web Crawling ","false","interacts with","Eva MÃ©ndez (interacts with) Web Crawling "
"46591","1.0","interacts with","Computerized text processing and analysis I (interacts with) Collocation Analysis ","false","interacts with","Computerized text processing and analysis I (interacts with) Collocation Analysis "
"46592","1.0","interacts with","Computerized text processing and analysis I (interacts with) Concordancing ","false","interacts with","Computerized text processing and analysis I (interacts with) Concordancing "
"46593","1.0","interacts with","Computerized text processing and analysis I (interacts with) POS-Tagging","false","interacts with","Computerized text processing and analysis I (interacts with) POS-Tagging"
"46594","1.0","interacts with","Computerized text processing and analysis I (interacts with) Text Mining","false","interacts with","Computerized text processing and analysis I (interacts with) Text Mining"
"46597","1.0","interacts with","Computerized processing and text analysis II (interacts with) Cluster Analysis ","false","interacts with","Computerized processing and text analysis II (interacts with) Cluster Analysis "
"46598","1.0","interacts with","Computerized processing and text analysis II (interacts with) Collocation Analysis ","false","interacts with","Computerized processing and text analysis II (interacts with) Collocation Analysis "
"46600","1.0","interacts with","Computerized processing and text analysis II (interacts with) Distance Measures","false","interacts with","Computerized processing and text analysis II (interacts with) Distance Measures"
"46601","1.0","interacts with","Computerized processing and text analysis II (interacts with) Machine Learning","false","interacts with","Computerized processing and text analysis II (interacts with) Machine Learning"
"46602","1.0","interacts with","Computerized processing and text analysis II (interacts with) POS-Tagging","false","interacts with","Computerized processing and text analysis II (interacts with) POS-Tagging"
"46603","1.0","interacts with","Computerized processing and text analysis II (interacts with) Text Mining","false","interacts with","Computerized processing and text analysis II (interacts with) Text Mining"
"46605","1.0","interacts with","Informatica en statistiek (interacts with) Information Retrieval","false","interacts with","Informatica en statistiek (interacts with) Information Retrieval"
"46607","1.0","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Browsing","false","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Browsing"
"46608","1.0","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Cluster Analysis ","false","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Cluster Analysis "
"46609","1.0","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Collocation Analysis ","false","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Collocation Analysis "
"46610","1.0","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Concordancing ","false","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Concordancing "
"46611","1.0","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Encoding","false","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Encoding"
"46612","1.0","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Georeferencing ","false","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Georeferencing "
"46613","1.0","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Information Retrieval","false","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Information Retrieval"
"46614","1.0","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Linked Open Data","false","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Linked Open Data"
"46615","1.0","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Named Entity Recognition ","false","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Named Entity Recognition "
"46616","1.0","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Pattern Recognition","false","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Pattern Recognition"
"46617","1.0","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Sentiment Analysis ","false","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Sentiment Analysis "
"46618","1.0","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Topic Modeling","false","interacts with","Specialisation in Digital Humanities within the MSc in Applied Computer Science (interacts with) Topic Modeling"
"46620","1.0","interacts with","Nouvelles technologies de lâ€™information et de la communication (interacts with) Browsing","false","interacts with","Nouvelles technologies de lâ€™information et de la communication (interacts with) Browsing"
"46621","1.0","interacts with","Nouvelles technologies de lâ€™information et de la communication (interacts with) Encoding","false","interacts with","Nouvelles technologies de lâ€™information et de la communication (interacts with) Encoding"
"46622","1.0","interacts with","Nouvelles technologies de lâ€™information et de la communication (interacts with) Linked Open Data","false","interacts with","Nouvelles technologies de lâ€™information et de la communication (interacts with) Linked Open Data"
"46623","1.0","interacts with","Nouvelles technologies de lâ€™information et de la communication (interacts with) Searching","false","interacts with","Nouvelles technologies de lâ€™information et de la communication (interacts with) Searching"
"46625","1.0","interacts with","Digital Histories Workshop (interacts with) Browsing","false","interacts with","Digital Histories Workshop (interacts with) Browsing"
"46627","1.0","interacts with","Specialisation Course in Digital Art History (interacts with) Brainstorming","false","interacts with","Specialisation Course in Digital Art History (interacts with) Brainstorming"
"46628","1.0","interacts with","Specialisation Course in Digital Art History (interacts with) Cluster Analysis ","false","interacts with","Specialisation Course in Digital Art History (interacts with) Cluster Analysis "
"46629","1.0","interacts with","Specialisation Course in Digital Art History (interacts with) Distance Measures","false","interacts with","Specialisation Course in Digital Art History (interacts with) Distance Measures"
"46630","1.0","interacts with","Specialisation Course in Digital Art History (interacts with) Georeferencing ","false","interacts with","Specialisation Course in Digital Art History (interacts with) Georeferencing "
"46631","1.0","interacts with","Specialisation Course in Digital Art History (interacts with) Information Retrieval","false","interacts with","Specialisation Course in Digital Art History (interacts with) Information Retrieval"
"46632","1.0","interacts with","Specialisation Course in Digital Art History (interacts with) Mapping","false","interacts with","Specialisation Course in Digital Art History (interacts with) Mapping"
"46633","1.0","interacts with","Specialisation Course in Digital Art History (interacts with) Pattern Recognition","false","interacts with","Specialisation Course in Digital Art History (interacts with) Pattern Recognition"
"46634","1.0","interacts with","Specialisation Course in Digital Art History (interacts with) Searching","false","interacts with","Specialisation Course in Digital Art History (interacts with) Searching"
"46636","1.0","interacts with","Digitale Methoden in den Altertumswissenschaften - Digital Classicist Seminar (interacts with) Cluster Analysis ","false","interacts with","Digitale Methoden in den Altertumswissenschaften - Digital Classicist Seminar (interacts with) Cluster Analysis "
"46637","1.0","interacts with","Digitale Methoden in den Altertumswissenschaften - Digital Classicist Seminar (interacts with) Georeferencing ","false","interacts with","Digitale Methoden in den Altertumswissenschaften - Digital Classicist Seminar (interacts with) Georeferencing "
"46638","1.0","interacts with","Digitale Methoden in den Altertumswissenschaften - Digital Classicist Seminar (interacts with) Information Retrieval","false","interacts with","Digitale Methoden in den Altertumswissenschaften - Digital Classicist Seminar (interacts with) Information Retrieval"
"46639","1.0","interacts with","Digitale Methoden in den Altertumswissenschaften - Digital Classicist Seminar (interacts with) Linked Open Data","false","interacts with","Digitale Methoden in den Altertumswissenschaften - Digital Classicist Seminar (interacts with) Linked Open Data"
"46640","1.0","interacts with","Digitale Methoden in den Altertumswissenschaften - Digital Classicist Seminar (interacts with) Photography","false","interacts with","Digitale Methoden in den Altertumswissenschaften - Digital Classicist Seminar (interacts with) Photography"
"46642","1.0","interacts with","Technologies numÃ©riques appliquÃ©es Ã  l'histoire (interacts with) Commenting","false","interacts with","Technologies numÃ©riques appliquÃ©es Ã  l'histoire (interacts with) Commenting"
"46643","1.0","interacts with","Technologies numÃ©riques appliquÃ©es Ã  l'histoire (interacts with) Encoding","false","interacts with","Technologies numÃ©riques appliquÃ©es Ã  l'histoire (interacts with) Encoding"
"46644","1.0","interacts with","Technologies numÃ©riques appliquÃ©es Ã  l'histoire (interacts with) Georeferencing ","false","interacts with","Technologies numÃ©riques appliquÃ©es Ã  l'histoire (interacts with) Georeferencing "
"46645","1.0","interacts with","Technologies numÃ©riques appliquÃ©es Ã  l'histoire (interacts with) Information Retrieval","false","interacts with","Technologies numÃ©riques appliquÃ©es Ã  l'histoire (interacts with) Information Retrieval"
"46646","1.0","interacts with","Technologies numÃ©riques appliquÃ©es Ã  l'histoire (interacts with) Linked Open Data","false","interacts with","Technologies numÃ©riques appliquÃ©es Ã  l'histoire (interacts with) Linked Open Data"
"46647","1.0","interacts with","Technologies numÃ©riques appliquÃ©es Ã  l'histoire (interacts with) Mapping","false","interacts with","Technologies numÃ©riques appliquÃ©es Ã  l'histoire (interacts with) Mapping"
